               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 116,            0.028946,            0.018146,           0.0015394,             0.81961,             0.78301,             0.76438,             0.42964,            0.044258,             0.01296,          0.00097246,           0.0011055,           0.0011055,           0.0011055
                 117,            0.028479,            0.018152,           0.0011784,             0.78902,             0.75319,             0.74048,             0.42221,            0.044975,             0.01318,          0.00096259,           0.0010281,           0.0010281,           0.0010281
                 118,            0.029044,             0.01761,           0.0012201,             0.79858,             0.76392,             0.75785,             0.43754,            0.044386,            0.012943,          0.00093055,          0.00095078,          0.00095078,          0.00095078
                 119,            0.029468,             0.02186,          0.00093138,             0.82668,             0.81842,             0.78455,             0.44628,            0.043636,            0.012741,          0.00087004,          0.00087344,          0.00087344,          0.00087344
                 120,            0.031573,            0.019919,           0.0014593,             0.80222,             0.76546,             0.75018,              0.4302,            0.044357,            0.012888,          0.00085888,          0.00079609,          0.00079609,          0.00079609
                 121,            0.029855,            0.020508,           0.0014423,             0.82355,             0.77621,             0.76408,             0.43431,            0.043973,            0.012936,          0.00084114,          0.00071875,          0.00071875,          0.00071875
                 122,            0.034405,            0.018152,           0.0019641,             0.80742,             0.76546,             0.74362,             0.43584,            0.044273,            0.012955,          0.00084257,          0.00064141,          0.00064141,          0.00064141
                 123,            0.030337,            0.018747,            0.002039,             0.82213,             0.77621,             0.75233,             0.43894,            0.043942,            0.012882,          0.00083213,          0.00056406,          0.00056406,          0.00056406
                 124,            0.029359,            0.017907,           0.0018645,             0.82068,             0.77587,             0.76839,             0.44255,            0.043601,            0.012777,          0.00083027,          0.00048672,          0.00048672,          0.00048672
                 125,            0.030464,            0.016876,           0.0010919,              0.8177,              0.8078,             0.76952,             0.43552,            0.043582,            0.012798,          0.00083041,          0.00040938,          0.00040938,          0.00040938
                 126,             0.02958,            0.018468,           0.0011451,             0.80803,             0.79681,             0.76401,             0.43711,            0.043533,             0.01285,          0.00083814,          0.00033203,          0.00033203,          0.00033203
                 127,            0.031528,            0.016647,           0.0018129,              0.7941,             0.78188,             0.76189,             0.43713,            0.043618,            0.012867,          0.00083528,          0.00025469,          0.00025469,          0.00025469
